,Date,PnL,LongsP,ShortsP,LongH,ShortH,LongD,ShortD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV,Sim
94,2016-11-28,-820703.3899203499,287449983.822979,-264593016.47891295,5082164966.830025,-5462381049.984059,566189790.3661318,-596681413.6181803,604163372.9201896,-579851048.6343219,-6978361.5205960125,7169540.137870941,6853080.877922583,-6802550.647022609,1
95,2016-11-29,-468339.1654073871,288279161.61199343,-271465526.69906473,5206444798.276653,-5554367180.4814205,475862999.39263904,-502581707.0761782,607424601.7896988,-568952210.8296335,-7030400.048812654,7136074.093934165,6510994.696572729,-6355654.88698484,1
96,2016-11-30,1347650.0033465482,273940830.5883264,-236771146.2808441,4744464990.166216,-5259420579.624271,986048422.66733,-838023614.8052472,615289965.9324653,-594246960.9346483,-7191882.953643535,7427904.212765181,6237523.752754767,-6249337.833548266,1
97,2016-12-01,-2625856.729657678,278117332.06902975,-229088530.3098486,4418346012.827105,-5118652783.983448,1020765800.6497391,-849899593.1328087,570156515.4034021,-549447759.0078602,-6847843.322852805,7055124.217260988,5494088.87428093,-5495229.095866263,1
98,2016-12-02,-234266.6881634208,271815554.4945536,-233061712.0311008,4535550732.273487,-5150089135.184093,479946407.02841824,-555674082.6665894,593601532.6463454,-558537327.7666186,-7060656.604141435,7205426.557773616,5319056.37168536,-5224018.015647806,1
99,2016-12-05,1076434.151825764,317074580.6061484,-268556861.8713335,5113620103.053614,-5833195804.403851,788749864.1494162,-692400007.829323,607381815.8106034,-583929104.9426548,-7323117.012642616,7607929.69638232,4307659.612346826,-4306511.474444626,1
100,2016-12-06,-44722.16541004076,350745908.50768065,-306239952.28204966,5533847179.760649,-6181950971.106563,547940525.1476092,-615445394.8081579,582275637.2291632,-570453644.1046838,-6991937.763426822,7399192.907810032,3741376.297840553,-3812462.6785563193,1
101,2016-12-07,-1212266.7958617152,444412042.64043343,-397391765.3430874,6356212240.125619,-6943583286.830653,810845019.7356436,-875304352.2441001,488392242.585004,-489304728.3898695,-6031445.233807573,6445567.239469126,2869468.711598769,-2961025.044732028,1
102,2016-12-08,-3712246.682890685,495778827.1427556,-447909215.4331207,6709864434.812341,-7292871819.006675,566638458.6569544,-575563702.2628343,457716725.4332315,-446107713.16152745,-5348220.418751914,5677473.613916167,2310971.988304214,-2340905.003117837,1
103,2016-12-09,372703.2385187272,508017720.4030889,-446755432.8542274,6867807882.676318,-7446958250.902624,429357497.5219271,-446234486.0906631,432952221.4062337,-438621351.610372,-5290760.434258196,5672037.735707566,1962632.611000497,-2028045.609233091,1
104,2016-12-12,760392.7692426948,462124462.7630688,-390601468.2784858,6785093378.640562,-7435592231.429179,591404707.1459975,-529556536.750165,434662142.787503,-456800259.6286968,-5643049.792360825,6102489.757567912,1161172.261190967,-1222962.3745445367,1
105,2016-12-13,656937.0434133302,483455102.03562486,-402636916.81876767,7051155413.749681,-7746640927.519032,464271513.5686104,-427923106.27673817,394395857.00487065,-432644123.5048065,-5165703.222775023,6151602.642555677,794439.4351534507,-898394.7780239587,1
106,2016-12-14,1145309.418745431,398113772.18120617,-317023911.3019013,6443115261.188944,-7234705558.955935,658479227.2423764,-561500809.4884378,530598226.6366088,-612656815.0972741,-6738968.970085606,7819647.941154658,701949.6482303699,-810034.5678931838,1
107,2016-12-15,290793.1564019668,427994836.7660922,-343453651.36629987,6620976771.763769,-7411743558.889791,630192930.6370127,-634176972.6420672,484588494.45218265,-623518739.9953148,-6350251.166655047,8032749.771751334,323994.8538420482,-414707.1760793525,1
108,2016-12-16,-1124957.2591025457,714379617.4597003,-628116415.0074929,4911572018.655249,-4876232742.508402,1099654094.0597062,-768472609.7019844,516526219.0695357,-529633923.59679073,-6250000.0,6250000.0,11649908.076556936,-11736869.37249722,1
109,2016-12-19,-1025260.7260278624,312928012.71702176,-311435833.0788422,5118306774.464468,-5138873343.722084,467994238.7676042,-414611461.0518813,534460667.12368834,-545492428.2278714,-6486937.0047127055,6468924.601660961,11043554.795701556,-11085032.918735735,1
110,2016-12-20,863748.9780662311,337875628.1293431,-331376079.96081966,5377997746.041954,-5412331503.407223,432677176.7388434,-423053608.1834676,536059219.057186,-550165463.7020384,-6456380.002801159,6459302.519793493,10685881.824630518,-10769332.28310882,1
